Wall time,Step,Value
1729052727.850511,492,467.0
1729052891.004196,493,1028.0
1729052903.03991,494,419.0
1729053087.1234808,497,910.0
1729053124.1579561,498,748.0
1729053189.1553764,500,45.0
1729053386.2747507,503,455.0
1729053394.4533207,504,153.0
1729053547.3470566,505,446.0
1729053570.0170527,506,951.0
1729053581.5344677,507,463.0
1729053593.237092,508,430.0
1729053740.5142188,509,506.0
1729053768.425629,510,370.0
1729053796.711089,511,1169.0
1729053832.396902,512,631.0
1729053965.055572,513,265.0
1729053995.0926747,515,396.0
1729054016.283804,516,856.0
1729054166.9485703,517,645.0
1729054189.102201,518,895.0
1729054215.0965433,519,628.0
1729054233.6664715,520,704.0
1729054397.6730468,521,1084.0
1729054451.7713354,523,386.0
1729054453.3951755,524,43.0
1729054606.004704,525,433.0
1729054639.465053,526,413.0
1729054954.338884,532,2179.0
1729055154.46981,534,1423.0
1729055165.2182,535,424.0
1729055192.1934054,536,1116.0
1729055334.734777,537,171.0
1729055377.2671463,538,1741.0
1729055385.4500644,539,300.0
1729055406.3689322,540,838.0
1729055568.4425135,541,1304.0
1729055588.7571495,542,742.0
1729055624.2138457,543,579.0
1729055643.974571,544,790.0
1729055796.9200153,545,388.0
1729055804.764997,546,294.0
1729055814.6930232,547,388.0
1729055931.8666868,548,928.0
1729056194.4041705,549,197.0
1729056196.0781217,550,50.0
1729056339.3499932,552,604.0
1729056599.9942222,553,1712.0
1729056607.5271888,554,280.0
1729056628.4031968,556,174.0
1729056773.982067,557,1169.0
1729056808.2920604,558,1398.0
1729056823.9780633,559,611.0
1729056831.3768203,560,268.0
1729057180.0037432,561,177.0
1729057201.178586,562,857.0
1729057216.4772685,563,561.0
1729057228.148714,564,288.0
1729057554.162209,565,173.0
1729057580.3901665,566,1060.0
1729057595.0941894,567,34.0
1729057607.920594,568,493.0
1729057721.1250644,569,200.0
1729057755.4318187,570,1322.0
1729057770.2469237,571,564.0
1729057780.442408,572,15.0
1729057993.8196833,573,203.0
1729058100.6682057,574,776.0
1729058155.3372598,575,523.0
1729058538.3478825,577,1260.0
1729058582.0274434,578,461.0
1729058609.7535613,579,1132.0
1729058635.0827246,580,932.0
1729058801.4681962,581,2213.0
1729058804.1128197,582,83.0
1729058840.6035488,583,618.0
1729058876.0927355,584,1439.0
1729059178.8677442,585,1209.0
1729059194.183103,586,607.0
1729059209.075032,587,598.0
1729059214.5608706,588,202.0
1729059587.26913,589,60.0
1729059598.9034858,590,434.0
1729059650.4641745,592,915.0
1729059792.3729014,593,484.0
1729059823.7641773,594,1239.0
1729059843.6919248,596,738.0
